xPath,yPath,xOutside,yOutside,xInside,yInside
128,150,128,160,128,140
129.23,149.972,129.678,159.962,128.782,139.982
130.474,149.889,131.35,159.851,129.598,139.928
131.727,149.752,133.015,159.669,130.44,139.836
132.982,149.563,134.669,159.42,131.295,139.707
134.233,149.324,136.312,159.105,132.154,139.542
135.473,149.034,137.941,158.725,133.005,139.343
136.697,148.696,139.554,158.279,133.839,139.113
137.897,148.311,141.148,157.768,134.645,138.855
139.067,147.881,142.721,157.189,135.413,138.573
140.202,147.406,144.269,156.542,136.135,138.271
141.314,146.881,145.787,155.825,136.842,137.937
142.417,146.299,147.269,155.043,137.565,137.555
143.506,145.664,148.716,154.2,138.297,137.128
144.576,144.981,150.126,153.3,139.026,136.663
145.621,144.253,151.499,152.343,139.743,136.163
146.636,143.484,152.832,151.333,140.44,135.635
147.616,142.678,154.125,150.27,141.108,135.086
148.556,141.838,155.373,149.155,141.74,134.522
149.451,140.969,156.575,147.986,142.326,133.952
150.294,140.074,157.726,146.765,142.863,133.383
151.096,139.141,158.82,145.493,143.373,132.79
151.867,138.161,159.856,144.176,143.878,132.146
152.604,137.139,160.835,142.817,144.373,131.46
153.304,136.079,161.757,141.421,144.85,130.738
153.962,134.989,162.623,139.989,145.302,129.989
154.577,133.874,163.43,138.524,145.724,129.224
155.145,132.739,164.178,137.028,146.111,128.45
155.662,131.589,164.865,135.501,146.458,127.678
156.125,130.431,165.488,133.944,146.762,126.918
156.532,129.271,166.042,132.361,147.021,126.18
156.885,128.092,166.525,130.754,147.246,125.431
157.191,126.883,166.935,129.128,147.446,124.638
157.448,125.649,167.277,127.489,147.619,123.809
157.656,124.397,167.552,125.839,147.761,122.956
157.814,123.134,167.76,124.179,147.869,122.088
157.922,121.865,167.901,122.512,147.943,121.217
157.979,120.597,167.976,120.841,147.982,120.353
157.984,119.336,167.983,119.166,147.985,119.507
157.936,118.09,167.918,117.491,147.954,118.689
157.836,116.864,167.781,115.819,147.89,117.909
157.679,115.644,167.568,114.154,147.791,117.134
157.467,114.415,167.282,112.503,147.651,116.328
157.2,113.183,166.928,110.866,147.472,115.5
156.881,111.955,166.507,109.247,147.254,114.663
156.511,110.736,166.022,107.646,147.001,113.826
156.094,109.533,165.473,106.066,146.714,113
155.63,108.352,164.862,104.508,146.398,112.195
155.122,107.198,164.187,102.976,146.057,111.42
154.571,106.079,163.447,101.472,145.696,110.686
153.981,105,162.641,100,145.321,110
153.342,103.949,161.769,98.5662,144.914,109.332
152.648,102.913,160.837,97.1735,144.459,108.652
151.903,101.896,159.847,95.8228,143.958,107.969
151.112,100.904,158.804,94.5144,143.419,107.293
150.279,99.9404,157.71,93.2492,142.847,106.632
149.408,99.0111,156.566,92.0285,142.249,105.994
148.503,98.1206,155.374,90.8545,141.633,105.387
147.57,97.2736,154.134,89.7294,141.006,104.818
146.612,96.475,152.846,88.6562,140.378,104.294
145.634,95.7295,151.511,87.6394,139.756,103.82
144.622,95.0294,150.132,86.6841,139.113,103.375
143.567,94.365,148.713,85.7911,138.42,102.939
142.473,93.7391,147.26,84.9595,137.685,102.519
141.346,93.1543,145.775,84.1885,136.918,102.12
140.194,92.6132,144.261,83.4777,136.126,101.749
139.02,92.1184,142.719,82.8279,135.32,101.409
137.832,91.6727,141.153,82.2403,134.51,101.105
136.635,91.2785,139.562,81.7168,133.707,100.84
135.434,90.9386,137.95,81.2601,132.919,100.617
134.237,90.6556,136.317,80.8741,132.158,100.437
133.029,90.4273,134.668,80.5625,131.39,100.292
131.794,90.2497,133.009,80.3237,130.58,100.176
130.54,90.1228,131.343,80.1551,129.738,100.091
129.273,90.0467,129.673,80.0547,128.874,100.039
128,90.0213,128,80.0213,128,100.021
126.727,90.0467,126.328,80.0547,127.126,100.039
125.46,90.1228,124.657,80.1551,126.262,100.091
124.206,90.2496,122.992,80.3236,125.42,100.176
122.971,90.4272,121.333,80.5624,124.61,100.292
121.763,90.6555,119.684,80.874,123.842,100.437
120.566,90.9385,118.051,81.26,123.081,100.617
119.366,91.2784,116.438,81.7167,122.294,100.84
118.169,91.6726,114.848,82.2402,121.49,101.105
116.98,92.1183,113.281,82.8278,120.68,101.409
115.807,92.6131,111.739,83.4776,119.874,101.749
114.654,93.1542,110.225,84.1883,119.082,102.12
113.527,93.739,108.74,84.9594,118.315,102.519
112.433,94.3649,107.287,85.791,117.58,102.939
111.378,95.0293,105.868,86.6839,116.887,103.375
110.367,95.7294,104.489,87.6392,116.244,103.82
109.388,96.4748,103.154,88.656,115.622,104.294
108.43,97.2734,101.866,89.7292,114.994,104.818
107.497,98.1204,100.626,90.8543,114.367,105.387
106.592,99.011,99.4341,92.0284,113.751,105.994
105.722,99.9403,98.2901,93.249,113.153,106.632
104.888,100.904,97.1958,94.5141,112.581,107.293
104.097,101.896,96.1528,95.8226,112.042,107.969
103.352,102.913,95.1634,97.1734,111.541,108.652
102.658,103.949,94.2308,98.5661,111.086,109.332
102.019,105,93.3591,99.9999,110.679,110
101.429,106.079,92.5531,101.472,110.304,110.686
100.878,107.198,91.8133,102.976,109.943,111.42
100.37,108.351,91.1382,104.508,109.602,112.195
99.9062,109.533,90.5266,106.066,109.286,113
99.4886,110.736,89.9781,107.646,108.999,113.826
99.1192,111.955,89.4929,109.247,108.746,114.663
98.8001,113.183,89.0723,110.866,108.528,115.5
98.5333,114.415,88.7179,112.503,108.349,116.327
98.3207,115.644,88.4323,114.154,108.209,117.134
98.1643,116.864,88.2191,115.819,108.11,117.909
98.0636,118.09,88.0815,117.491,108.046,118.689
98.016,119.336,88.0175,119.166,108.015,119.506
98.021,120.597,88.0239,120.84,108.018,120.353
98.0777,121.865,88.0987,122.512,108.057,121.217
98.1856,123.134,88.2403,124.179,108.131,122.088
98.3439,124.397,88.4483,125.839,108.239,122.956
98.552,125.649,88.7228,127.489,108.381,123.809
98.8092,126.883,89.0645,129.128,108.554,124.638
99.1149,128.092,89.4755,130.753,108.754,125.431
99.4683,129.27,89.9577,132.361,108.979,126.18
99.8749,130.431,90.5123,133.944,109.238,126.918
100.338,131.589,91.135,135.501,109.542,127.678
100.855,132.739,91.8219,137.027,109.889,128.45
101.423,133.874,92.5701,138.524,110.276,129.224
102.038,134.989,93.3775,139.989,110.698,129.989
102.696,136.079,94.2426,141.421,111.15,130.738
103.396,137.139,95.1647,142.817,111.627,131.46
104.133,138.161,96.1436,144.176,112.122,132.146
