xPath,yPath,xOutside,yOutside,xInside,yInside
47,175,41.6117,183.424,52.3883,166.576
52.17,178.069,47.4165,186.867,56.9235,169.271
57.72,180.792,53.6173,189.912,61.8227,171.672
63.56,183.193,60.015,192.544,67.105,173.842
69.6,185.296,66.5302,194.813,72.6698,175.779
75.75,187.125,73.0839,196.763,78.4161,177.487
81.92,188.704,79.5959,198.43,84.2441,178.978
88.02,190.057,85.9838,199.848,90.0562,180.266
93.96,191.208,92.1634,201.045,95.7566,181.371
99.65,192.181,98.0478,202.052,101.252,182.31
105,193,103.583,202.899,106.417,183.101
110.067,193.672,108.896,203.603,111.238,183.741
114.976,194.176,114.129,204.14,115.823,184.212
119.739,194.494,119.28,204.483,120.198,184.505
124.368,194.608,124.361,204.608,124.375,184.608
128.875,194.5,129.387,204.487,128.364,184.513
133.272,194.152,134.363,204.092,132.181,184.212
137.571,193.546,139.293,203.397,135.849,183.695
141.784,192.664,144.177,202.374,139.391,182.954
145.923,191.488,149.007,201,142.839,181.976
150,190,153.786,199.256,146.214,180.744
154.091,188.147,158.535,197.106,149.646,179.189
158.224,185.92,163.24,194.571,153.208,177.269
162.344,183.363,167.858,191.704,156.829,175.021
166.392,180.52,172.359,188.545,160.425,172.495
170.312,177.438,176.702,185.13,163.922,169.745
174.048,174.16,180.848,181.492,167.248,166.828
177.542,170.733,184.752,177.661,170.331,163.804
180.736,167.2,188.368,173.662,173.104,160.738
183.574,163.608,191.647,169.509,175.502,157.706
186,160,194.579,165.138,177.421,154.862
187.997,156.223,197.081,160.404,178.913,152.042
189.616,152.144,199.066,155.416,180.166,148.872
190.899,147.841,200.578,150.354,181.22,145.328
191.888,143.392,201.708,145.282,182.068,141.502
192.625,138.875,202.528,140.262,182.722,137.488
193.152,134.368,203.103,135.356,183.201,133.38
193.511,129.949,203.488,130.63,183.534,129.268
193.744,125.696,203.733,126.158,183.755,125.234
193.893,121.687,203.887,122.02,183.899,121.355
194,118,204,118.086,184,117.915
193.954,114.611,203.939,114.076,183.968,115.145
193.648,111.424,203.562,110.114,183.734,112.734
193.135,108.414,202.937,106.437,183.332,110.39
192.464,105.552,202.146,103.051,182.782,108.053
191.688,102.813,201.269,99.9508,182.106,105.674
190.856,100.168,200.382,97.1265,181.33,103.21
